minute,sex,mean_activity
min1,female,3.7352898917748916
min1,male,4.530101697722567
min10,female,3.2712039826839825
min10,male,4.355655590062112
min100,female,1.8943005411255411
min100,male,2.8701274120082814
min1000,female,13.447825779220778
min1000,male,12.072016687370601
min1001,female,13.466764329004329
min1001,male,12.190247763975155
min1002,female,13.109746082251082
min1002,male,11.726885341614906
min1003,female,13.006192813852813
min1003,male,12.181771407867496
min1004,female,12.806004935064935
min1004,male,11.778276708074534
min1005,female,12.609352186147186
min1005,male,11.54541364389234
min1006,female,12.743250064935065
min1006,male,11.457622422360249
min1007,female,12.433065887445888
min1007,male,11.613000952380952
min1008,female,12.483589805194805
min1008,male,11.65408430641822
min1009,female,12.228183744588744
min1009,male,11.571783830227744
min101,female,2.0294527705627705
min101,male,2.791189068322981
min1010,female,12.448776818181818
min1010,male,11.907012339544513
min1011,female,12.926152467532468
min1011,male,11.415624099378881
min1012,female,12.851919653679653
min1012,male,11.55117281573499
min1013,female,13.078617900432901
min1013,male,11.621090683229813
min1014,female,12.877273549783549
min1014,male,11.593740807453417
min1015,female,12.918294783549783
min1015,male,11.533521801242236
min1016,female,12.817338333333334
min1016,male,11.259566211180124
min1017,female,13.168197056277057
min1017,male,11.755523788819875
min1018,female,13.057003181818182
min1018,male,11.53255784679089
min1019,female,13.09548554112554
min1019,male,11.603282173913044
min102,female,1.8600166233766233
min102,male,2.708258033126294
min1020,female,13.385107532467533
min1020,male,11.623739585921324
min1021,female,13.457174112554112
min1021,male,11.360513933747413
min1022,female,13.46639261904762
min1022,male,11.391778861283644
min1023,female,13.263239372294372
min1023,male,11.658640538302278
min1024,female,13.574941233766234
min1024,male,11.793131904761905
min1025,female,13.479978896103896
min1025,male,11.819145610766046
min1026,female,13.106452597402598
min1026,male,11.875850869565218
min1027,female,13.642447597402597
min1027,male,11.77380016563147
min1028,female,13.056453744588744
min1028,male,11.894466211180124
min1029,female,13.492523246753246
min1029,male,11.632640124223602
min103,female,2.172978658008658
min103,male,2.629211946169772
min1030,female,13.302171428571429
min1030,male,11.624387888198758
min1031,female,13.37639158008658
min1031,male,11.934782960662526
min1032,female,13.503674761904762
min1032,male,12.128735921325053
min1033,female,13.546007489177489
min1033,male,12.136748115942028
min1034,female,13.219448181818182
min1034,male,12.178165507246376
min1035,female,13.309474675324676
min1035,male,12.583313354037267
min1036,female,13.260665865800865
min1036,male,12.350518695652173
min1037,female,13.169851580086581
min1037,male,12.553472608695651
min1038,female,13.28433774891775
min1038,male,12.24490039337474
min1039,female,13.445061125541125
min1039,male,12.166294782608695
min104,female,1.9920817965367965
min104,male,2.8453524016563145
min1040,female,13.498029372294372
min1040,male,11.905092401656315
min1041,female,13.385079696969697
min1041,male,11.791978550724638
min1042,female,13.274372683982683
min1042,male,12.061027246376812
min1043,female,13.238937813852814
min1043,male,12.192502443064182
min1044,female,13.86906287878788
min1044,male,12.111762505175983
min1045,female,13.176527077922078
min1045,male,11.892615320910974
min1046,female,12.90977054112554
min1046,male,11.648341159420289
min1047,female,12.769781147186148
min1047,male,11.900271076604556
min1048,female,12.773755887445887
min1048,male,11.526824409937888
min1049,female,13.46898106060606
min1049,male,11.977944616977226
min105,female,2.003802186147186
min105,male,2.5879633126293995
min1050,female,13.376732922077922
min1050,male,11.97359629399586
min1051,female,13.437524177489177
min1051,male,11.393433664596273
min1052,female,13.574044307359307
min1052,male,11.371079482401656
min1053,female,13.09905015151515
min1053,male,11.532562774327122
min1054,female,12.857722792207792
min1054,male,11.291300248447206
min1055,female,13.03713
min1055,male,11.254870517598343
min1056,female,13.66579119047619
min1056,male,11.187625010351967
min1057,female,13.013298896103896
min1057,male,11.128221573498964
min1058,female,12.896495346320346
min1058,male,11.105992070393375
min1059,female,13.482305844155844
min1059,male,11.071665983436853
min106,female,1.916114826839827
min106,male,2.475372049689441
min1060,female,12.846799393939394
min1060,male,11.382985921325051
min1061,female,13.750200324675324
min1061,male,11.60824685300207
min1062,female,14.053612532467533
min1062,male,11.853875051759834
min1063,female,13.53995567099567
min1063,male,11.473321283643893
min1064,female,13.271412359307359
